Ingreso(Miles);Nivel Educacional;Años de servicio;Zona;Antigüedad;Género
64;4;5;1;0;1
136;5;5;1;0;1
116;1;29;1;1;1
33;2;0;2;0;2
30;1;2;1;0;1
78;2;16;1;1;1
19;2;4;2;0;2
76;2;10;1;0;1
166;4;31;2;1;2
72;1;22;2;1;1
125;4;5;2;0;1
80;2;15;2;1;1
37;2;9;1;0;2
115;4;23;2;1;1
25;1;8;1;0;1
75;5;1;1;0;2
162;2;30;2;1;1
49;2;6;2;0;2
20;1;3;1;0;1
77;4;2;2;0;2
16;3;1;1;0;1
120;1;24;2;1;2
101;5;4;2;0;2
67;1;25;2;1;2
36;1;5;1;0;1
33;2;0;2;0;2
37;2;8;2;0;2
31;1;5;1;0;1
17;2;2;1;0;1
19;4;0;1;0;1
36;1;13;1;0;1
155;5;12;2;0;2
140;2;21;1;1;1
55;5;0;2;0;2
163;3;24;2;1;2
52;4;0;2;0;2
211;4;25;2;1;2
186;2;17;1;1;1
39;1;1;2;0;2
22;2;35;1;1;1
30;1;7;2;0;2
29;2;4;2;0;2
23;2;8;1;0;1
62;4;10;1;0;1
76;4;20;1;1;1
74;4;16;1;1;1
63;4;19;1;1;1
36;4;8;1;0;1
33;2;8;2;0;2
29;2;9;2;0;2
27;2;1;2;0;2
49;2;12;2;0;2
24;4;0;1;0;1
26;2;2;2;0;2
47;3;5;1;0;1
94;2;18;2;1;1
21;3;4;2;0;1
27;1;0;1;0;1
30;2;2;2;0;1
127;4;12;2;0;2
137;2;20;2;1;1
80;2;24;2;1;2
30;2;2;1;0;2
438;4;23;2;1;2
79;2;16;1;1;2
63;1;23;1;1;1
40;3;10;2;0;2
51;1;34;2;1;1
37;3;5;2;0;2
61;4;11;2;0;2
22;2;9;1;0;1
44;4;3;2;0;2
17;3;5;1;0;1
110;5;15;2;1;1
91;2;24;2;1;1
46;2;8;1;0;1
85;3;12;2;0;2
10;2;12;2;0;1
244;1;47;1;;2
80;4;15;1;1;2
83;5;1;1;0;2
21;1;6;1;0;2
24;2;3;2;0;1
351;3;31;1;1;2
169;4;29;2;1;1
46;2;7;1;0;1
34;3;3;2;0;2
50;4;3;2;0;2
161;5;6;1;0;1
212;4;17;2;1;2
80;5;11;2;0;2
30;4;7;1;0;1
53;5;1;2;0;2
73;5;4;1;0;1
17;2;0;2;0;2
23;5;3;1;0;1
34;1;8;2;0;1
107;1;19;2;1;1
21;1;1;1;0;1
83;2;16;2;1;1
17;3;0;2;0;2
76;3;2;1;0;1
19;1;0;1;0;2
49;4;3;1;0;2
173;3;22;1;1;2
47;3;10;2;0;2
41;2;11;1;0;1
105;3;13;2;0;2
31;4;2;1;0;1
41;2;17;2;1;2
102;4;9;2;0;2
36;4;0;1;0;1
24;1;3;2;0;2
25;4;0;2;0;2
68;2;21;1;1;1
20;3;0;1;0;1
48;1;15;1;1;1
40;2;8;1;0;1
79;1;25;2;1;2
28;1;0;1;0;1
64;2;22;1;1;1
37;2;11;2;0;2
48;1;13;1;0;1
131;5;6;2;0;2
18;2;2;2;0;2
38;2;14;2;0;2
37;2;4;2;0;2
60;4;6;1;0;1
13;3;0;2;0;2
98;1;31;1;1;1
195;1;23;1;1;1
47;1;14;1;0;1
65;2;22;2;1;2
150;5;5;1;0;1
106;5;8;1;0;1
51;4;14;2;0;2
96;4;0;1;0;1
33;5;7;2;0;2
38;2;1;2;0;2
125;4;5;2;0;2
145;5;0;2;0;2
99;2;21;1;1;1
22;4;0;1;0;1
31;1;38;1;1;1
25;1;6;1;0;1
57;5;0;2;0;2
41;5;20;1;1;1
20;3;1;1;0;1
101;2;22;2;1;2
56;2;15;1;1;1
22;2;5;2;0;2
108;4;9;2;0;2
115;4;20;2;1;2
53;4;22;2;1;2
242;4;12;1;0;1
20;2;3;2;0;2
123;4;11;1;0;1
34;1;12;1;0;1
31;4;3;1;0;1
47;1;12;2;0;2
48;3;8;1;0;1
13;2;5;1;0;1
78;1;25;2;1;2
34;1;7;1;0;1
81;5;9;2;0;2
86;2;25;2;1;2
26;4;2;2;0;2
51;2;8;2;0;2
59;3;10;1;0;1
112;4;16;1;1;1
57;4;28;1;1;1
41;1;2;1;0;1
168;2;26;2;1;2
29;4;4;1;0;1
167;2;14;1;0;1
29;2;3;2;0;2
104;1;26;1;1;1
46;4;0;2;0;2
46;4;1;2;0;2
51;4;0;2;0;2
65;2;18;2;1;2
48;2;13;1;0;1
46;3;1;2;0;2
43;2;18;1;1;1
110;1;34;1;1;1
32;3;2;2;0;2
18;3;0;1;0;1
26;4;0;2;0;1
34;2;10;2;0;1
57;4;4;2;0;1
21;2;0;2;0;2
38;3;10;1;0;1
19;3;0;1;0;2
40;3;17;1;1;2
58;3;8;1;0;2
95;2;15;2;1;2
114;2;19;1;1;1
128;3;24;1;1;2
33;4;2;2;0;1
460;4;41;1;1;1
224;3;17;2;1;2
122;4;12;2;0;2
23;3;1;2;0;2
191;3;27;2;1;2
187;4;6;1;0;1
119;3;12;2;0;2
44;2;44;1;1;1
15;3;2;1;0;1
674;4;37;1;1;1
33;4;0;2;0;2
250;2;35;1;1;1
64;4;0;2;0;2
26;2;4;2;0;2
23;3;5;2;0;2
52;4;7;2;0;2
200;3;9;1;0;1
28;1;4;2;0;2
19;5;0;1;0;1
76;3;21;1;1;1
70;2;20;1;1;1
34;2;9;2;0;1
34;5;3;1;0;1
172;3;13;1;0;1
48;1;10;2;0;2
45;2;2;1;0;1
72;3;13;2;0;2
55;4;18;2;1;2
40;4;2;2;0;2
26;3;0;2;0;2
96;1;33;1;1;1
54;1;10;1;0;2
47;2;9;1;0;1
142;1;30;1;1;1
57;4;1;2;0;2
20;3;7;1;0;1
37;1;7;1;0;1
36;4;16;2;1;2
24;4;2;1;0;1
21;2;0;2;0;2
186;3;25;2;1;2
30;1;7;2;0;2
96;2;16;2;1;2
15;1;29;1;1;1
25;1;4;2;0;2
49;3;7;1;0;1
38;2;7;1;0;1
29;2;2;1;0;1
55;2;7;2;0;1
64;3;10;1;0;1
42;4;7;1;0;1
134;4;2;2;0;2
82;1;21;1;1;1
153;5;10;2;0;2
144;2;13;2;0;2
22;4;0;2;0;2
35;1;16;2;1;2
82;4;22;1;1;1
61;1;22;1;1;2
102;2;12;1;0;1
31;3;4;1;0;1
170;1;30;2;1;2
26;2;0;1;0;1
85;3;15;1;1;1
183;2;35;2;1;2
67;1;18;1;1;1
42;1;11;2;0;1
31;1;9;2;0;1
96;2;17;2;1;1
24;3;2;2;0;2
53;2;14;1;0;1
18;1;0;2;0;2
43;4;19;1;1;2
104;3;9;1;0;2
26;1;1;2;0;2
56;2;26;1;1;1
49;2;6;2;0;2
80;1;21;2;1;1
318;3;18;2;1;2
35;4;5;2;0;2
29;1;6;1;0;1
43;5;1;1;0;1
80;5;3;1;0;1
30;3;2;1;0;1
9;3;24;2;1;2
23;2;1;1;0;1
58;4;9;1;0;1
52;1;20;2;1;2
14;3;12;1;0;1
110;2;21;2;1;2
60;2;12;2;0;2
123;3;21;2;1;2
15;5;31;2;1;2
47;4;2;1;0;1
138;4;11;1;0;1
359;3;29;1;1;1
214;3;22;2;1;2
64;1;19;1;1;1
50;4;14;2;0;2
88;3;9;2;0;2
86;2;15;2;1;2
17;1;29;2;1;2
25;2;17;1;1;1
46;2;6;2;0;2
361;1;40;1;1;1
18;3;0;1;0;1
14;4;1;1;0;1
34;3;8;2;0;2
9;2;6;1;0;1
39;2;5;1;0;1
18;3;2;2;0;2
25;4;1;1;0;1
46;5;8;2;0;2
94;4;11;2;0;2
26;3;2;2;0;2
335;1;35;2;1;2
25;3;6;1;0;1
99;3;8;1;0;1
30;2;7;1;0;1
35;2;2;1;0;1
51;5;1;2;0;2
49;3;13;1;0;1
54;1;15;1;1;1
46;4;7;2;0;2
91;4;1;1;0;1
23;4;0;2;0;2
345;1;32;2;1;2
45;4;0;2;0;2
53;2;12;2;0;2
14;2;6;1;0;1
67;5;4;2;0;2
49;3;1;1;0;1
37;1;15;1;1;1
33;1;9;1;0;1
46;3;10;2;0;2
93;1;21;1;1;1
48;2;11;1;0;1
183;2;22;2;1;2
16;1;5;1;0;1
11;2;14;2;0;2
42;4;5;2;0;2
67;4;14;2;0;2
181;4;12;2;0;2
53;4;6;1;0;1
172;2;32;1;1;1
87;2;19;1;1;1
21;5;0;1;0;1
9;2;30;2;1;2
144;3;22;1;1;1
117;4;11;1;0;1
59;4;4;2;0;2
508;4;35;1;1;1
222;2;43;2;1;2
87;3;25;2;1;2
34;1;9;2;0;2
18;4;0;2;0;2
65;3;24;1;1;1
130;3;27;2;1;2
44;3;8;1;0;1
63;1;24;1;1;1
57;4;20;2;1;2
264;1;35;1;1;1
28;1;5;2;0;2
26;3;1;2;0;2
38;4;0;2;0;2
59;3;5;2;0;2
117;4;21;1;1;1
70;4;9;1;0;1
104;2;13;1;0;1
71;3;18;1;1;1
70;3;7;2;0;2
56;4;10;1;0;1
68;1;23;1;1;1
80;2;13;2;0;2
21;4;1;1;0;1
69;3;5;2;0;2
39;2;3;2;0;2
90;2;18;2;1;2
64;5;1;2;0;2
28;2;6;1;0;1
24;2;0;2;0;2
44;2;7;2;0;2
32;4;7;1;0;1
52;4;9;1;0;1
15;3;0;1;0;1
46;3;6;2;0;2
107;2;33;1;1;1
56;2;11;2;0;2
40;4;7;2;0;2
56;3;13;2;0;2
46;2;7;2;0;2
51;2;21;1;1;1
12;1;20;2;1;1
34;5;6;1;0;1
27;2;6;1;0;1
42;3;7;1;0;2
119;5;2;2;0;1
146;1;27;1;1;2
51;2;13;1;0;2
86;1;22;2;1;2
27;3;8;1;0;2
38;3;9;2;0;1
928;3;29;2;1;2
21;2;1;2;0;1
24;1;6;2;0;2
91;1;25;1;1;1
38;2;8;2;0;2
96;4;5;2;0;2
96;3;17;1;1;1
54;3;5;1;0;1
1668;4;27;1;1;1
53;4;0;2;0;2
21;3;1;1;0;1
52;5;3;2;0;2
17;3;36;2;1;2
262;2;39;2;1;2
34;5;1;2;0;2
107;1;19;1;1;1
67;5;13;2;0;2
37;4;0;1;0;1
21;2;0;1;0;1
22;1;4;1;0;1
71;3;3;2;0;2
77;3;8;1;0;1
18;4;0;2;0;2
50;2;12;1;0;1
33;4;7;2;0;2
94;1;22;2;1;2
209;1;40;2;1;2
31;4;5;2;0;2
66;2;19;1;1;1
51;1;15;2;1;2
118;2;20;1;1;1
25;2;3;1;0;1
59;3;21;1;1;1
20;2;0;2;0;2
63;5;4;1;0;1
36;4;17;2;1;2
72;4;18;2;1;2
50;1;16;2;1;2
39;2;5;2;0;2
54;2;20;1;1;1
9;1;4;2;0;2
33;4;1;1;0;1
28;1;9;1;0;1
44;2;11;1;0;1
34;4;4;2;0;2
68;4;18;1;1;1
37;1;9;1;0;1
18;3;0;2;0;1
55;2;7;1;0;1
21;1;5;2;0;1
29;3;11;2;0;2
9;2;6;2;0;1
138;2;18;2;1;2
28;4;12;1;0;2
62;1;11;1;0;2
37;3;8;1;0;2
83;1;16;1;1;1
168;1;43;2;1;2
33;4;1;1;0;1
66;3;9;1;0;1
18;4;1;2;0;2
20;1;4;1;0;1
19;3;1;2;0;2
25;2;1;2;0;2
119;5;7;2;0;2
323;4;25;2;1;2
45;1;11;1;0;1
197;4;26;2;1;2
56;3;10;1;0;1
24;4;4;1;0;1
25;3;6;1;0;1
26;5;0;2;0;2
33;4;3;1;0;1
150;2;24;1;1;1
99;2;15;2;1;2
50;4;12;1;0;1
81;3;20;2;1;1
21;1;1;2;0;1
273;3;27;2;1;1
39;3;4;2;0;1
17;2;3;1;0;2
115;3;17;1;1;1
27;2;1;1;0;2
35;1;6;2;0;2
20;2;4;1;0;2
92;1;25;2;1;2
207;2;35;2;1;1
40;1;11;2;0;2
40;2;1;2;0;1
55;4;1;1;0;1
26;1;35;2;1;2
41;2;8;1;0;1
203;4;25;1;1;1
380;2;36;1;1;1
104;4;6;2;0;2
24;3;4;1;0;1
81;3;20;2;1;2
17;1;1;2;0;2
45;1;12;2;0;2
32;2;2;2;0;2
57;4;5;1;0;1
63;4;9;2;0;2
25;4;0;1;0;1
22;1;1;1;0;1
155;2;20;1;1;1
30;2;5;2;0;2
46;3;0;1;0;1
68;4;10;1;0;1
67;2;5;2;0;2
69;3;2;1;0;1
47;2;11;2;0;2
83;2;12;2;0;2
34;2;11;2;0;2
45;2;2;2;0;2
29;2;2;1;0;1
21;2;1;1;0;1
30;3;0;1;0;1
78;4;7;1;0;1
61;3;15;2;1;1
90;5;3;1;0;2
43;2;7;1;0;1
301;2;37;2;1;2
32;2;15;1;1;2
41;2;9;2;0;2
127;1;28;2;1;2
271;1;43;2;1;1
32;3;2;2;0;2
36;4;2;1;0;1
293;3;21;2;1;2
41;3;3;1;0;1
39;3;5;1;0;1
58;1;18;1;1;1
28;1;3;2;0;2
15;2;0;1;0;1
105;4;7;1;0;1
80;4;8;2;0;2
36;2;9;1;0;1
112;4;3;2;0;2
55;4;10;2;0;2
40;4;1;2;0;2
23;2;0;2;0;2
28;4;33;1;1;1
21;2;23;1;1;1
63;4;12;1;0;1
52;4;3;1;0;1
189;1;31;2;1;2
50;1;15;1;1;1
23;1;15;1;1;1
33;2;15;1;1;1
29;3;6;2;0;2
96;3;4;1;0;1
80;5;15;1;1;1
68;2;15;2;1;2
30;1;4;1;0;1
34;2;12;2;0;1
35;2;2;2;0;1
36;2;1;2;0;1
35;3;18;2;1;1
62;3;9;1;0;2
94;1;25;1;1;1
60;1;6;1;0;2
118;2;11;1;0;2
135;4;3;2;0;2
80;2;24;1;1;2
21;3;3;1;0;1
22;1;2;2;0;2
63;4;7;1;0;1
142;2;18;2;1;2
32;3;0;2;0;2
19;3;5;2;0;2
60;4;10;2;0;2
97;1;23;1;1;1
31;2;3;2;0;2
30;3;1;1;0;1
31;1;5;1;0;1
44;2;9;1;0;1
38;2;5;2;0;2
23;2;0;1;0;1
37;3;6;1;0;1
26;2;0;2;0;2
38;2;5;1;0;1
153;3;34;2;1;2
49;1;20;2;1;2
51;3;7;2;0;2
88;1;21;2;1;2
19;1;0;1;0;1
31;1;12;1;0;1
90;2;19;1;1;1
14;1;0;1;0;1
341;2;30;2;1;2
24;4;0;1;0;1
81;2;7;1;0;1
63;2;13;2;0;1
27;1;4;1;0;1
20;5;3;2;0;2
48;3;0;2;0;1
121;4;23;2;1;2
39;3;4;2;0;2
21;2;0;1;0;2
53;4;5;2;0;2
58;1;23;1;1;1
39;3;2;1;0;2
108;1;33;2;1;1
38;1;10;1;0;1
245;4;0;2;0;2
51;1;18;2;1;2
78;4;10;2;0;2
23;4;4;2;0;2
88;4;12;1;0;1
25;2;1;1;0;1
73;2;16;1;1;1
62;4;15;1;1;1
456;3;30;2;1;2
24;2;5;1;0;1
23;2;0;1;0;1
46;1;6;2;0;2
263;2;29;1;1;1
34;4;2;1;0;1
33;2;13;1;0;1
37;1;11;2;0;2
296;2;25;1;1;1
26;3;0;1;0;1
47;4;12;2;0;2
31;3;1;1;0;1
264;2;29;2;1;2
41;4;2;2;0;2
55;2;4;2;0;2
49;2;15;2;1;2
26;1;7;1;0;1
110;4;9;1;0;1
66;1;19;1;1;1
39;3;5;1;0;1
31;2;2;2;0;1
26;4;1;1;0;2
232;4;15;1;1;1
43;4;1;2;0;2
39;4;3;1;0;2
73;2;23;2;1;2
74;1;20;2;1;2
237;4;13;2;0;1
22;1;3;2;0;2
21;1;8;1;0;1
9;2;6;2;0;2
41;5;10;1;0;1
50;4;7;1;0;1
27;3;5;1;0;1
53;3;3;1;0;1
58;3;0;2;0;2
151;4;8;1;0;1
54;2;4;1;0;1
31;1;4;1;0;1
115;1;22;2;1;2
24;1;5;1;0;1
17;2;2;1;0;1
47;2;13;2;0;1
36;1;0;1;0;1
75;4;1;2;0;1
41;5;6;2;0;2
18;4;4;2;0;1
171;3;33;2;1;2
42;3;21;1;1;2
36;3;0;1;0;2
31;5;7;1;0;2
207;2;37;1;1;1
38;1;12;2;0;2
134;4;9;1;0;1
28;3;4;1;0;1
15;2;0;2;0;2
48;4;4;1;0;1
14;2;6;2;0;2
101;4;18;2;1;2
87;2;18;2;1;2
27;1;4;2;0;2
27;5;0;1;0;1
59;3;22;2;1;2
294;4;9;1;0;1
44;3;5;1;0;1
35;2;4;1;0;1
205;4;10;2;0;2
732;3;31;1;1;1
59;3;11;1;0;1
23;1;7;2;0;1
87;2;19;1;1;1
110;1;23;2;1;1
83;3;14;2;0;2
63;4;21;2;1;1
22;3;6;2;0;2
43;3;7;1;0;2
35;2;11;1;0;2
48;2;11;1;0;2
69;3;12;1;0;1
26;4;5;2;0;2
20;1;8;1;0;1
43;2;6;1;0;1
33;1;44;2;1;2
66;2;11;1;0;1
12;2;0;2;0;2
90;2;11;2;0;2
35;3;2;1;0;1
51;5;4;2;0;2
117;3;15;1;1;1
100;2;26;1;1;1
147;1;29;1;1;1
53;4;6;2;0;2
57;5;2;1;0;1
37;2;0;1;0;1
42;3;2;2;0;2
50;1;4;1;0;1
55;4;2;2;0;2
42;2;7;2;0;2
37;1;7;2;0;1
228;3;39;2;1;1
163;5;31;1;1;1
28;4;3;1;0;1
118;5;21;1;1;2
115;2;39;1;1;1
37;4;1;2;0;2
93;1;28;1;1;2
71;4;5;1;0;2
26;2;7;2;0;2
14;4;5;1;0;1
18;1;0;2;0;2
36;4;0;2;0;1
43;4;0;2;0;2
41;4;4;2;0;2
66;2;15;1;1;1
33;4;19;2;1;2
53;4;6;1;0;1
28;4;3;1;0;1
58;4;4;1;0;1
129;4;17;2;1;2
65;4;0;1;0;1
311;3;36;1;1;1
57;3;14;2;0;2
47;2;4;1;0;1
25;1;3;2;0;2
46;5;11;2;0;2
51;3;13;2;0;1
19;2;5;2;0;1
26;3;4;1;0;1
72;5;30;1;1;1
71;1;41;1;1;2
41;2;13;1;0;1
44;2;7;2;0;2
208;4;19;1;1;2
45;4;9;1;0;2
39;3;2;2;0;2
89;4;12;1;0;1
19;2;5;2;0;2
15;2;0;2;0;1
59;2;36;2;1;2
20;3;6;2;0;2
27;4;6;1;0;1
48;2;9;2;0;2
135;2;6;1;0;1
19;1;0;1;0;1
28;4;0;2;0;2
12;1;16;1;1;1
28;2;15;2;1;2
18;3;8;2;0;2
58;3;5;2;0;2
72;3;17;2;1;2
112;4;3;1;0;1
28;2;8;2;0;2
398;5;11;1;0;1
106;3;21;1;1;1
10;1;3;1;0;1
108;3;17;2;1;2
85;2;15;1;1;1
51;3;9;1;0;1
22;2;2;2;0;2
66;2;8;1;0;1
10;2;2;2;0;2
34;1;4;2;0;2
67;1;22;2;1;2
19;1;1;2;0;2
128;4;4;1;0;1
39;5;1;1;0;1
56;1;3;1;0;1
45;4;10;1;0;1
25;1;1;2;0;2
24;2;1;1;0;1
53;4;14;1;0;2
49;1;45;2;1;2
38;1;16;1;1;2
84;3;10;2;0;2
126;1;22;2;1;1
73;4;5;2;0;2
41;4;8;2;0;1
22;4;2;1;0;1
23;1;2;2;0;2
94;2;25;1;1;1
30;3;7;1;0;1
31;2;0;1;0;1
171;1;37;2;1;2
102;1;27;1;1;1
27;4;3;1;0;1
98;4;20;2;1;2
591;4;25;1;1;1
25;1;2;2;0;2
36;4;0;2;0;2
25;2;0;2;0;2
69;2;13;2;0;2
22;1;0;1;0;1
67;2;37;1;1;1
73;4;12;1;0;1
22;4;2;1;0;1
9;2;12;2;0;2
147;3;31;1;1;1
239;2;19;1;1;1
23;3;1;2;0;2
29;4;6;1;0;1
32;2;15;2;1;1
30;3;7;2;0;1
57;2;13;2;0;1
20;2;0;2;0;1
248;2;20;1;1;2
59;3;8;2;0;1
24;2;6;1;0;2
25;1;4;1;0;2
37;3;2;2;0;2
30;4;0;1;0;2
66;4;13;2;0;1
16;1;3;2;0;2
429;4;23;2;1;1
20;2;4;2;0;2
262;3;28;1;1;1
28;3;1;1;0;1
18;2;0;1;0;1
144;3;21;2;1;2
33;1;9;1;0;1
19;3;0;1;0;1
30;1;7;1;0;1
41;2;8;2;0;2
20;2;0;1;0;1
65;3;21;1;1;1
17;4;0;2;0;2
66;1;22;1;1;1
18;4;5;2;0;2
26;4;2;2;0;2
46;4;4;2;0;2
19;1;5;2;0;2
58;2;6;1;0;1
25;1;21;1;1;1
15;2;1;1;0;1
35;2;2;1;0;1
41;2;1;2;0;2
71;4;3;1;0;1
608;3;34;1;1;2
44;4;9;2;0;2
41;2;0;1;0;2
83;3;11;2;0;2
28;2;3;2;0;1
101;2;10;2;0;2
28;1;10;2;0;1
35;2;0;1;0;1
39;2;3;2;0;2
51;4;11;1;0;1
31;2;7;1;0;1
209;4;15;1;1;1
37;3;1;2;0;2
64;4;8;1;0;1
88;3;26;1;1;1
61;1;8;2;0;2
66;3;10;1;0;1
19;3;5;2;0;2
42;2;14;2;0;2
41;2;13;2;0;2
50;1;15;2;1;2
70;4;4;1;0;1
85;1;19;1;1;1
45;3;2;1;0;1
27;1;9;1;0;1
29;1;2;2;0;1
48;4;0;1;0;1
32;2;3;1;0;1
43;1;9;2;0;2
16;5;0;1;0;1
22;2;3;2;0;2
40;3;9;2;0;2
256;3;25;2;1;2
144;4;13;2;0;2
45;4;0;1;0;1
34;2;0;2;0;2
248;3;28;1;1;1
41;2;5;1;0;1
27;4;1;2;0;2
17;3;3;1;0;1
44;4;11;2;0;2
135;2;24;2;1;2
41;4;1;2;0;2
587;3;33;2;1;2
38;4;7;1;0;1
49;2;10;1;0;1
33;3;0;1;0;1
36;1;5;1;0;1
54;3;0;2;0;2
58;2;11;1;0;1
23;5;4;1;0;1
97;5;9;1;0;1
207;3;12;2;0;2
21;3;3;1;0;1
119;3;18;1;1;1
25;1;5;2;0;2
59;3;17;1;1;1
24;1;3;2;0;2
113;4;4;2;0;2
22;1;0;2;0;2
11;1;17;2;1;2
33;1;13;1;0;1
205;5;19;1;1;1
41;3;8;1;0;1
39;1;7;1;0;1
107;2;21;2;1;2
198;1;31;1;1;1
100;5;14;1;0;1
1131;2;45;2;1;2
360;3;26;1;1;1
162;2;27;2;1;2
29;5;2;2;0;2
38;4;1;2;0;2
82;3;25;2;1;2
159;2;24;1;1;1
201;2;24;2;1;1
27;4;0;1;0;1
57;3;10;1;0;1
45;1;16;1;1;2
17;2;2;2;0;1
61;1;26;1;1;2
418;4;18;1;1;2
152;2;32;2;1;2
38;4;1;1;0;2
151;4;20;2;1;1
23;4;9;2;0;2
33;4;0;2;0;1
26;1;8;2;0;2
89;1;40;1;1;1
25;4;0;1;0;1
59;2;13;1;0;1
55;2;12;1;0;1
25;3;6;2;0;2
39;2;8;1;0;1
56;1;19;1;1;1
155;3;30;2;1;2
119;5;0;1;0;1
64;3;20;2;1;2
333;5;24;2;1;2
26;2;7;2;0;2
33;4;11;2;0;2
46;3;3;1;0;1
41;2;8;2;0;2
31;1;8;1;0;1
29;4;0;2;0;1
94;2;16;1;1;1
288;3;19;1;1;1
31;1;4;1;0;1
25;2;0;2;0;2
269;2;35;1;1;1
203;3;27;1;1;2
22;2;2;2;0;2
25;2;1;1;0;2
222;5;16;2;1;2
76;3;7;2;0;1
55;2;17;2;1;2
46;3;6;2;0;1
56;4;1;1;0;1
79;3;11;1;0;1
51;3;2;1;0;1
61;1;27;1;1;1
41;1;10;2;0;2
50;2;13;1;0;1
82;1;18;1;1;1
108;1;23;2;1;2
14;2;27;1;1;1
46;1;13;2;0;2
46;1;20;2;1;2
146;4;16;2;1;2
36;1;11;2;0;2
83;1;23;1;1;1
17;3;3;2;0;2
18;3;0;1;0;1
24;1;7;1;0;1
48;3;1;1;0;1
47;1;10;2;0;1
25;4;5;1;0;1
59;4;0;1;0;1
45;4;6;2;0;1
163;4;15;1;1;2
63;2;6;2;0;1
27;3;4;2;0;2
190;2;22;2;1;2
106;2;19;2;1;2
26;3;1;1;0;2
63;5;1;1;0;1
27;3;0;1;0;2
22;5;5;1;0;1
944;5;33;2;1;2
87;2;22;1;1;1
39;3;3;1;0;1